date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2018-10-14,2018,0,0,ATL,TB,,1481.21238830933,,,,
2018-10-14,2018,0,0,HOU,BUF,,,,,,
2018-10-14,2018,0,0,DEN,LAR,,,,,,
2018-10-14,2018,0,0,DAL,JAX,,,,,,
2018-10-14,2018,0,0,TEN,BAL,,,,,,
2018-10-14,2018,0,0,NE,KC,,,,,,
2018-10-15,2018,0,0,GB,SF,,,,,,
2018-10-18,2018,0,0,ARI,DEN,,,,,,
2018-10-21,2018,1,0,LAC,TEN,,,,,,
2018-10-21,2018,0,0,CHI,NE,,,,,,
2018-10-21,2018,0,0,IND,BUF,,,,,,
2018-10-21,2018,0,0,JAX,HOU,,,,,,
2018-10-21,2018,0,0,KC,CIN,,,,,,
2018-10-21,2018,0,0,TB,CLE,,,,,,
2018-10-21,2018,0,0,PHI,CAR,,,,,,
2018-10-21,2018,0,0,NYJ,MIN,,,,,,
2018-10-21,2018,0,0,MIA,DET,,,,,,
2018-10-21,2018,0,0,BAL,NO,,,,,,
2018-10-21,2018,0,0,WSH,DAL,,,,,,
2018-10-21,2018,0,0,SF,LAR,,,,,,
2018-10-22,2018,0,0,ATL,NYG,,,,,,
2018-10-25,2018,0,0,HOU,MIA,,,,,,
2018-10-28,2018,1,0,JAX,PHI,,,,,,
2018-10-28,2018,0,0,DET,SEA,,,,,,
2018-10-28,2018,0,0,CHI,NYJ,,,,,,
2018-10-28,2018,0,0,CAR,BAL,,,,,,
2018-10-28,2018,0,0,KC,DEN,,,,,,
2018-10-28,2018,0,0,PIT,CLE,,,,,,
2018-10-28,2018,0,0,NYG,WSH,,,,,,
2018-10-28,2018,0,0,CIN,TB,,,,,,
2018-10-28,2018,0,0,OAK,IND,,,,,,
2018-10-28,2018,0,0,ARI,SF,,,,,,
2018-10-28,2018,0,0,LAR,GB,,,,,,
2018-10-28,2018,0,0,MIN,NO,,,,,,
2018-10-29,2018,0,0,BUF,NE,,,,,,
2018-11-01,2018,0,0,SF,OAK,,,,,,
2018-11-04,2018,0,0,MIN,DET,,,,,,
2018-11-04,2018,0,0,BUF,CHI,,,,,,
2018-11-04,2018,0,0,CAR,TB,,,,,,
